col,type,metric,detail
account_Contract,cat,0.39877819012275195,"{'Month-to-month': 0.4270967741935484, 'One year': 0.11269517990495587, 'Two year': 0.02831858407079646}"
customer_tenure,num,0.3522286701130779,-0.3522286701130779
internet_InternetService,cat,0.3448778451712098,"{'DSL': 0.1895910780669145, 'Fiber optic': 0.4189276485788114, 'No': 0.07404980340760157}"
internet_OnlineSecurity,cat,0.3436174350143538,"{'No': 0.4176672384219554, 'No internet service': 0.07404980340760157, 'Yes': 0.14611193660227836}"
internet_TechSupport,cat,0.3423049331314137,"{'No': 0.4163547365390153, 'No internet service': 0.07404980340760157, 'Yes': 0.15166340508806261}"
internet_OnlineBackup,cat,0.32523776135923776,"{'No': 0.39928756476683935, 'No internet service': 0.07404980340760157, 'Yes': 0.21531494442157267}"
internet_DeviceProtection,cat,0.3172264486117845,"{'No': 0.3912762520193861, 'No internet service': 0.07404980340760157, 'Yes': 0.2250206440957886}"
account_PaymentMethod,cat,0.3004231107950205,"{'Bank transfer (automatic)': 0.16709844559585493, 'Credit card (automatic)': 0.15243101182654403, 'Electronic check': 0.4528541226215645, 'Mailed check': 0.19106699751861042}"
internet_StreamingMovies,cat,0.2627545053895259,"{'No': 0.33680430879712747, 'No internet service': 0.07404980340760157, 'Yes': 0.29941434846266474}"
internet_StreamingTV,cat,0.2611815133183771,"{'No': 0.33523131672597867, 'No internet service': 0.07404980340760157, 'Yes': 0.30070188400443293}"
account_Charges.Monthly,num,0.19335642223784702,0.19335642223784702
customer_SeniorCitizen,cat,0.18075092499683185,"{0: 0.23606168446026096, 1: 0.4168126094570928}"
account_PaperlessBilling,cat,0.17235008738544225,"{0: 0.1633008356545961, 1: 0.33565092304003835}"
customer_Dependents,cat,0.15828903515640383,"{0: 0.3127914048246503, 1: 0.15450236966824646}"
customer_Partner,cat,0.13293075579077593,"{0: 0.32957978577313923, 1: 0.1966490299823633}"
phone_MultipleLines,cat,0.03683209441018803,"{'No': 0.2504424778761062, 'No phone service': 0.24926686217008798, 'Yes': 0.286098956580276}"
phone_PhoneService,cat,0.01782950632543162,"{0: 0.24926686217008798, 1: 0.2670963684955196}"
customer_gender,cat,0.007605340068904065,"{'Female': 0.26920871559633025, 'Male': 0.2616033755274262}"
